구,법정동,아파트명,r_c,n,last_ym,r_dong,입지가치지수,avg_price_per_sqm,median_amount,lat,lon,subway_dist_km,nearest_station,commute_minutes,pred_idx,final_resid,deviation_pct,zone,extreme_deviation,blue_candidate_lowconf,confidence
서초구,서초동,서초동삼성쉐르빌2,-0.21791819878169802,13,202603,0.3667288629078819,-0.05551623720125915,980.830122576467,30900.0,37.493958853256984,127.02788113071453,0.31452452865111474,강남 신분당선,22,0.19607082235215262,-0.25158705955341176,-25.2,Gray,False,False,높음
영등포구,양평동2가,오목교벽산블루밍,-0.1560025485032154,13,202603,-0.06287160072351645,-0.13013284078663234,1120.7835560731153,74200.0,37.52305627830748,126.88216963263062,0.4681663360410139,양평,37,-0.11201467232612505,-0.01811816846050729,-1.8,Gray,False,False,높음
마포구,상수동,상수두산위브,0.1918015095754404,13,202603,0.32316310069495907,0.22829084044197337,1617.465932231133,149000.0,37.54692410332956,126.92436354621799,0.19449531887663898,상수,35,-0.03001693807270789,0.25830777851468123,25.8,Gray,False,False,높음
동대문구,답십리동,한신휴플러스그린파크,-0.10507651918340463,13,202602,-0.06863442536384452,-0.09495371534463794,1311.9281632456323,83700.0,37.5739028775882,127.04975422581028,0.8091157408351458,답십리,24,0.07836810838681052,-0.17332182373144844,-17.3,Gray,False,False,높음
노원구,상계동,상계현대3차,-0.47955925176473513,13,202603,-0.33837159335803557,-0.44034045776287417,734.9028737560836,63000.0,37.67163697246641,127.05296598943873,0.7253889018662342,수락산,42,-0.2480048193955825,-0.19233563836729167,-19.2,Gray,False,False,높음
노원구,상계동,상계1차중앙하이츠,-0.3867509117588549,13,202601,-0.33837159335803557,-0.3733122122030717,903.0822261500355,56000.0,37.653730749296706,127.06890452064985,0.5611121952557133,노원,42,-0.22145452381871777,-0.15185768838435393,-15.2,Gray,False,False,높음
성북구,정릉동,정릉힐스테이트1차,-0.33977591640935023,13,202603,-0.3797119030473846,-0.3508692460310264,913.9077955059055,78300.0,37.60020663623411,127.01751840171438,0.44108960249724216,정릉 우이신설선,42,-0.20205654963608333,-0.1488126963949431,-14.9,Gray,False,False,높음
성북구,종암동,극동,-0.26445839925751563,13,202603,-0.12011229559905745,-0.22436225935238832,969.7348113750504,66000.0,37.59527650994495,127.0336847462679,0.9980998444649326,월곡,33,-0.12212778359269993,-0.10223447575968839,-10.2,Gray,False,False,높음
강서구,화곡동,중앙화곡하이츠,-0.5796660872472748,13,202602,-0.19304958963224267,-0.47227261568754364,762.6370864584717,48500.0,37.53571572533554,126.84368547031293,0.4575456243985023,까치산,45,-0.26136696223650757,-0.21090565345103607,-21.1,Gray,False,False,높음
동작구,신대방동,우성2차,-0.28759063218229647,13,202601,-0.0628250432400909,-0.22515574636501715,1021.3463828348694,81000.0,37.49292263928019,126.91039624989372,0.6473222167244289,신대방,44,-0.2731549326171432,0.04799918625212604,4.8,Gray,False,False,높음
동작구,신대방동,해태보라매타워,-0.28134494497722196,13,202602,-0.0628250432400909,-0.22064497227246335,1054.540670596517,68500.0,37.4912496013444,126.924795135308,0.8908337074356051,신림,44,-0.31251110299663043,0.09186613072416708,9.2,Gray,False,False,높음
동작구,흑석동,우리유앤미,0.2140004079692124,13,202603,0.4200870335940128,0.27124669286499026,1649.1912323774627,115000.0,37.50065153093757,126.95964474973636,0.7173392800586113,숭실대입구,21,0.14985176183420967,0.12139493103078058,12.1,Gray,False,False,높음
서초구,서초동,서초한빛삼성,0.578366495601951,13,202601,0.3667288629078819,0.5195782642980429,2191.3178154463076,202000.0,37.48794674926806,127.0079557071318,0.4347866071862267,서초,22,0.17663414263245547,0.3429441216655874,34.3,Red,False,False,높음
서대문구,냉천동,동부센트레빌,-0.08641969680147878,13,202602,0.15873639036961049,-0.018320783698398426,1176.5643672522417,89700.0,37.56658059981375,126.96002122207713,0.8543607072388757,충정로,34,-0.11778035707082402,0.09945957337242559,9.9,Gray,False,False,높음
강남구,일원동,목련타운,0.7427799550128071,13,202601,0.8072747739825328,0.7606951825043976,2602.4454578634823,302000.0,37.48471911929594,127.08575421187335,0.1647477242634336,일원,15,0.35246285524367504,0.40823232726072256,40.8,Red,False,False,높음
은평구,수색동,청구,0.030422015949703302,13,202603,-0.22993362483009094,-0.04189899537801732,1336.7216666984766,84000.0,37.58042734567189,126.90083609400523,0.33668191469153064,디지털미디어시티 경의중앙선,44,-0.22294944696290497,0.18105045158488764,18.1,Gray,False,False,높음
서대문구,북가좌동,DMC현대아파트,-0.252166980487634,13,202602,-0.12483944725254766,-0.21679822125566556,943.0500972377696,68900.0,37.57680389742342,126.9079411566041,0.5937563427099637,디지털미디어시티,39,-0.1700796489835693,-0.04671857227209625,-4.7,Gray,False,False,높음
강서구,염창동,염창동한강우성,-0.07268280990109602,13,202602,-0.03938837206426923,-0.06343435494642191,1145.719793260777,85000.0,37.5553472,126.8725283,0.799912552485374,등촌,36,-0.14674768197040633,0.08331332702398442,8.3,Gray,False,False,높음
서대문구,북가좌동,월드컵현대,-0.061910678979288855,13,202603,-0.12483944725254766,-0.07939089238852742,1217.3116180960415,83000.0,37.57629651936579,126.90439167663172,0.27621292085233695,디지털미디어시티,39,-0.11875848554682233,0.03936759315829491,3.9,Gray,False,False,높음
마포구,합정동,마포한강2차푸르지오,0.2592750724896915,13,202512,0.09118554778648738,0.21258353784991257,2218.051903492287,190000.0,37.55112583136965,126.91190529468844,0.26204818924920686,합정,33,-0.0031675888759248316,0.2157511267258374,21.6,Gray,False,False,높음
양천구,신월동,양천벽산블루밍1단지,-0.3238372190725523,13,202603,-0.3405313796547355,-0.32847448590093653,930.471478613801,72500.0,37.52436103473913,126.83944656625513,1.070759333729703,까치산,37,-0.20940536472121518,-0.11906912117972135,-11.9,Gray,False,False,높음
양천구,신월동,양천벽산블루밍2단지,-0.33346341155066306,13,202603,-0.3405313796547355,-0.33542673602401657,922.1057310161773,63000.0,37.525062845880875,126.83873462262902,1.0475968507045506,까치산,37,-0.20566185912446666,-0.1297648768995499,-13.0,Gray,False,False,높음
성북구,정릉동,우방,-0.5736924154584693,13,202603,-0.3797119030473846,-0.5198089397887234,695.7036749782864,44500.0,37.60034085229872,127.01008300772418,0.39578950260648205,정릉 우이신설선,42,-0.1947351766515817,-0.32507376313714176,-32.5,Blue,False,False,높음
강서구,등촌동,대림e편한세상,-0.11694008489571733,13,202603,-0.06796501332819505,-0.10333589834918337,1039.8705738215513,94500.0,37.552056,126.8615649,0.3827495749222497,등촌,34,-0.04155886944365239,-0.06177702890553098,-6.2,Gray,False,False,높음
성동구,성수동1가,현대그린,0.4692057061109806,13,202603,0.5327664404738892,0.486861465656233,2086.830853259739,149000.0,37.540411788398025,127.05003520658796,0.588868428749601,서울숲 수인분당선,11,0.3594511412374237,0.12741032441880928,12.7,Gray,False,False,높음
서초구,양재동,우성,0.6369945988306631,13,202602,0.2252819611104589,0.5226299772417176,2344.0959607902146,174000.0,37.4752100452811,127.030411056918,0.9081012547864247,양재시민의숲 신분당선,23,0.08125373365053035,0.4413762435911872,44.1,Red,False,False,높음
